Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F602}	1	😂	2010	Smileys & Emotion	face-smiling	face with tears of joy
\x{2764 FE0F}	2	❤️	2010	Smileys & Emotion	emotion	red heart
\x{1F923}	3	🤣	2016	Smileys & Emotion	face-smiling	rolling on the floor laughing
\x{1F44D}	4	👍	2010	People & Body	hand-fingers-closed	thumbs up
\x{1F62D}	5	😭	2010	Smileys & Emotion	face-concerned	loudly crying face
\x{1F64F}	6	🙏	2010	People & Body	hands	folded hands
\x{1F618}	7	😘	2010	Smileys & Emotion	face-affection	face blowing a kiss
\x{1F970}	8	🥰	2018	Smileys & Emotion	face-affection	smiling face with hearts
\x{1F60D}	9	😍	2010	Smileys & Emotion	face-affection	smiling face with heart-eyes
\x{1F60A}	10	😊	2010	Smileys & Emotion	face-smiling	smiling face with smiling eyes
\x{1F389}	11	🎉	2010	Activities	event	party popper
\x{1F601}	12	😁	2010	Smileys & Emotion	face-smiling	beaming face with smiling eyes
\x{1F495}	13	💕	2010	Smileys & Emotion	emotion	two hearts
\x{1F97A}	14	🥺	2018	Smileys & Emotion	face-concerned	pleading face
\x{1F605}	15	😅	2010	Smileys & Emotion	face-smiling	grinning face with sweat
\x{1F525}	16	🔥	2010	Travel & Places	sky & weather	fire
\x{263A FE0F}	17	☺️	2010	Smileys & Emotion	face-affection	smiling face
\x{1F926}	18	🤦	2016	People & Body	person-gesture	person facepalming
\x{2665 FE0F}	19	♥️	2010	Activities	game	heart suit
\x{1F937}	20	🤷	2016	People & Body	person-gesture	person shrugging
\x{1F644}	21	🙄	2015	Smileys & Emotion	face-neutral-skeptical	face with rolling eyes
\x{1F606}	22	😆	2010	Smileys & Emotion	face-smiling	grinning squinting face
\x{1F917}	23	🤗	2015	Smileys & Emotion	face-hand	hugging face
\x{1F609}	24	😉	2010	Smileys & Emotion	face-smiling	winking face
\x{1F382}	25	🎂	2010	Food & Drink	food-sweet	birthday cake
\x{1F914}	26	🤔	2015	Smileys & Emotion	face-hand	thinking face
\x{1F44F}	27	👏	2010	People & Body	hands	clapping hands
\x{1F642}	28	🙂	2015	Smileys & Emotion	face-smiling	slightly smiling face
\x{1F633}	29	😳	2010	Smileys & Emotion	face-concerned	flushed face
\x{1F973}	30	🥳	2018	Smileys & Emotion	face-hat	partying face
\x{1F60E}	31	😎	2015	Smileys & Emotion	face-glasses	smiling face with sunglasses
\x{1F44C}	32	👌	2010	People & Body	hand-fingers-partial	OK hand
\x{1F49C}	33	💜	2010	Smileys & Emotion	emotion	purple heart
\x{1F614}	34	😔	2010	Smileys & Emotion	face-sleepy	pensive face
\x{1F4AA}	35	💪	2010	People & Body	body-parts	flexed biceps
\x{2728}	36	✨	2010	Activities	event	sparkles
\x{1F496}	37	💖	2010	Smileys & Emotion	emotion	sparkling heart
\x{1F440}	38	👀	2010	People & Body	body-parts	eyes
\x{1F60B}	39	😋	2010	Smileys & Emotion	face-tongue	face savoring food
\x{1F60F}	40	😏	2010	Smileys & Emotion	face-neutral-skeptical	smirking face
\x{1F622}	41	😢	2010	Smileys & Emotion	face-concerned	crying face
\x{1F449}	42	👉	2010	People & Body	hand-single-finger	backhand index pointing right
\x{1F497}	43	💗	2010	Smileys & Emotion	emotion	growing heart
\x{1F629}	44	😩	2010	Smileys & Emotion	face-concerned	weary face
\x{1F4AF}	45	💯	2010	Smileys & Emotion	emotion	hundred points
\x{1F339}	46	🌹	2010	Animals & Nature	plant-flower	rose
\x{1F49E}	47	💞	2010	Smileys & Emotion	emotion	revolving hearts
\x{1F388}	48	🎈	2010	Activities	event	balloon
\x{1F499}	49	💙	2010	Smileys & Emotion	emotion	blue heart
\x{1F603}	50	😃	2010	Smileys & Emotion	face-smiling	grinning face with big eyes
\x{1F621}	51	😡	2010	Smileys & Emotion	face-negative	pouting face
\x{1F490}	52	💐	2010	Animals & Nature	plant-flower	bouquet
\x{1F61C}	53	😜	2010	Smileys & Emotion	face-tongue	winking face with tongue
\x{1F648}	54	🙈	2010	Smileys & Emotion	monkey-face	see-no-evil monkey
\x{1F91E}	55	🤞	2016	People & Body	hand-fingers-partial	crossed fingers
\x{1F604}	56	😄	2010	Smileys & Emotion	face-smiling	grinning face with smiling eyes
\x{1F924}	57	🤤	2016	Smileys & Emotion	face-sleepy	drooling face
\x{1F64C}	58	🙌	2010	People & Body	hands	raising hands
\x{1F92A}	59	🤪	2017	Smileys & Emotion	face-tongue	zany face
\x{2763 FE0F}	60	❣️	2015	Smileys & Emotion	emotion	heart exclamation
